date,day_of_week,day_name,is_weekend,is_monday,is_friday,month,season,is_us_holiday,holiday_name,is_summer_break,is_winter_break,is_spring_break,is_major_event_window,temp_max_c,temp_min_c,apparent_temp_max_c,apparent_temp_min_c,precipitation_mm,rain_mm,snowfall_cm,wind_max_kmh,weathercode,weather_label,is_rainy_day,is_snowy_day,is_extreme_heat,is_extreme_cold
2023-12-01,4,Friday,0,0,1,12,winter,0,,0,0,0,0,8.2,0.2,5.9,-3.4,5.8,5.8,0,14.6,61,light_rain,1,0,0,0
2023-12-02,5,Saturday,1,0,0,12,winter,0,,0,0,0,0,15.9,4.8,14.8,2.1,0,0.0,0,15.7,3,overcast,0,0,0,0
2023-12-03,6,Sunday,1,0,0,12,winter,0,,0,0,0,0,10.4,6.6,8.3,4.6,16.3,16.3,0,19.8,63,rain,1,0,0,0
2023-12-04,0,Monday,0,1,0,12,winter,0,,0,0,0,0,10.9,4.6,6.6,0.1,0,0.0,0,21.3,3,overcast,0,0,0,0
2023-12-05,1,Tuesday,0,0,0,12,winter,0,,0,0,0,0,6.5,1.2,2.8,-3.3,0,0.0,0,14.6,3,overcast,0,0,0,0
2023-12-06,2,Wednesday,0,0,0,12,winter,0,,0,0,0,0,4.8,-1.9,0.1,-5.8,0,0.0,0,22.7,3,overcast,0,0,0,0
2023-12-07,3,Thursday,0,0,0,12,winter,0,,0,0,0,0,3.4,-3.2,-0.4,-7.8,0,0.0,0,16.9,3,overcast,0,0,0,0
2023-12-08,4,Friday,0,0,1,12,winter,0,,0,0,0,0,8.6,-1.5,5.2,-4.9,0,0.0,0,11.4,3,overcast,0,0,0,0
2023-12-09,5,Saturday,1,0,0,12,winter,0,,0,0,0,0,13.4,2.0,11.6,-1.2,0,0.0,0,16.2,3,overcast,0,0,0,0
2023-12-10,6,Sunday,1,0,0,12,winter,0,,0,0,0,0,16.6,6.2,15.5,3.4,26.8,26.8,0,33.1,63,rain,1,0,0,0
2023-12-11,0,Monday,0,1,0,12,winter,0,,0,0,0,0,14.4,2.4,14.3,-2.4,29.3,29.3,0,35.1,65,heavy_rain,1,0,0,0
2023-12-12,1,Tuesday,0,0,0,12,winter,0,,0,0,0,0,5.9,-2.2,1.0,-6.6,0,0.0,0,17.9,0,clear,0,0,0,0
2023-12-13,2,Wednesday,0,0,0,12,winter,0,,0,0,0,0,7.3,-0.1,2.2,-4.6,0,0.0,0,17.8,1,mainly_clear,0,0,0,0
2023-12-14,3,Thursday,0,0,0,12,winter,0,,0,0,0,0,4.4,-3.3,-0.2,-7.5,0,0.0,0,13.7,3,overcast,0,0,0,0
2023-12-15,4,Friday,0,0,1,12,winter,0,,0,0,0,0,11.9,-0.8,8.4,-5.4,0,0.0,0,16.7,3,overcast,0,0,0,0
2023-12-16,5,Saturday,1,0,0,12,winter,0,,0,0,0,0,11.4,1.9,8.1,-1.9,0,0.0,0,12.1,3,overcast,0,0,0,0
2023-12-17,6,Sunday,1,0,0,12,winter,0,,0,0,0,0,13.6,5.6,11.1,2.6,21.7,21.7,0,24.0,63,rain,1,0,0,0
2023-12-18,0,Monday,0,1,0,12,winter,0,,0,0,0,0,15.8,5.8,14.6,0.9,73.7,73.7,0,53.8,65,heavy_rain,1,0,0,0
2023-12-19,1,Tuesday,0,0,0,12,winter,0,,0,0,0,0,6.1,-0.9,0.3,-6.3,0,0.0,0,24.4,3,overcast,0,0,0,0
2023-12-20,2,Wednesday,0,0,0,12,winter,0,,0,0,0,0,7.2,-3.8,3.6,-8.0,0,0.0,0,15.8,1,mainly_clear,0,0,0,0
2023-12-21,3,Thursday,0,0,0,12,winter,0,,0,0,0,0,4.0,-2.9,-2.0,-8.3,0,0.0,0,22.1,1,mainly_clear,0,0,0,0
2023-12-22,4,Friday,0,0,1,12,winter,0,,0,0,0,0,2.5,-5.5,-0.8,-10.1,0,0.0,0,11.9,3,overcast,0,0,0,1
2023-12-23,5,Saturday,1,0,0,12,winter,0,,0,0,0,0,5.8,-3.0,2.7,-6.9,0.5,0.5,0,9.7,51,light_drizzle,0,0,0,0
2023-12-24,6,Sunday,1,0,0,12,winter,0,,0,1,0,0,8.6,1.0,6.8,-1.9,0,0.0,0,7.2,3,overcast,0,0,0,0
2023-12-25,0,Monday,0,1,0,12,winter,1,Christmas Day,0,1,0,1,11.7,1.4,10.2,-1.5,0,0.0,0,9.7,3,overcast,0,0,0,0
2023-12-26,1,Tuesday,0,0,0,12,winter,0,,0,1,0,0,7.8,3.3,6.0,0.8,0,0.0,0,7.6,3,overcast,0,0,0,0
2023-12-27,2,Wednesday,0,0,0,12,winter,0,,0,1,0,0,9.4,5.7,7.4,3.3,3.9,3.9,0,15.5,53,drizzle,1,0,0,0
2023-12-28,3,Thursday,0,0,0,12,winter,0,,0,1,0,0,11.4,8.8,9.6,5.5,30.6,30.6,0,25.0,65,heavy_rain,1,0,0,0
2023-12-29,4,Friday,0,0,1,12,winter,0,,0,1,0,0,13.2,7.4,9.9,4.2,0.5,0.5,0,18.4,51,light_drizzle,0,0,0,0
2023-12-30,5,Saturday,1,0,0,12,winter,0,,0,1,0,0,7.8,1.2,4.8,-3.2,0.2,0.2,0,26.6,51,light_drizzle,0,0,0,0
2023-12-31,6,Sunday,1,0,0,12,winter,0,,0,1,0,0,6.3,-1.9,1.8,-5.6,0,0.0,0,16.7,3,overcast,0,0,0,0
2024-01-01,0,Monday,0,1,0,1,winter,1,New Year's Day,0,0,0,1,7.3,0.4,4.2,-4.1,0.1,0.0,0.07,14.9,71,light_snow,0,0,0,0
2024-01-02,1,Tuesday,0,0,0,1,winter,0,,0,0,0,0,5.5,-4.4,1.3,-8.5,0,0.0,0,13.0,0,clear,0,0,0,0
2024-01-03,2,Wednesday,0,0,0,1,winter,0,,0,0,0,0,7.6,-2.1,3.3,-6.3,0,0.0,0,15.5,3,overcast,0,0,0,0
2024-01-04,3,Thursday,0,0,0,1,winter,0,,0,0,0,0,6.7,-2.2,1.0,-8.8,0,0.0,0,26.6,3,overcast,0,0,0,0
2024-01-05,4,Friday,0,0,1,1,winter,0,,0,0,0,0,2.8,-5.3,-1.8,-10.4,0,0.0,0,22.1,3,overcast,0,0,0,1
2024-01-06,5,Saturday,1,0,0,1,winter,0,,0,0,0,0,3.0,-4.9,-1.4,-8.6,9.8,5.3,3.15,29.8,75,heavy_snow,1,1,0,0
2024-01-07,6,Sunday,1,0,0,1,winter,0,,0,0,0,0,3.1,-0.6,-1.8,-4.9,7.5,6.3,0.84,29.5,73,snow,1,0,0,0
2024-01-08,0,Monday,0,1,0,1,winter,0,,0,0,0,0,6.3,-2.2,1.7,-5.9,0,0.0,0,17.3,1,mainly_clear,0,0,0,0
2024-01-09,1,Tuesday,0,0,0,1,winter,0,,0,0,0,0,12.9,-4.2,5.3,-7.8,29.6,29.6,0,60.6,63,rain,1,0,0,0
2024-01-10,2,Wednesday,0,0,0,1,winter,0,,0,0,0,0,13.6,4.9,9.9,-0.2,37.8,37.8,0,49.2,65,heavy_rain,1,0,0,0
2024-01-11,3,Thursday,0,0,0,1,winter,0,,0,0,0,0,7.9,0.0,3.3,-4.4,0,0.0,0,23.3,3,overcast,0,0,0,0
2024-01-12,4,Friday,0,0,1,1,winter,0,,0,0,0,0,8.1,-1.6,4.9,-5.2,0.5,0.5,0,21.1,51,light_drizzle,0,0,0,0
2024-01-13,5,Saturday,1,0,0,1,winter,0,,0,0,0,0,14.5,1.6,12.4,-5.0,26.1,26.1,0,35.8,65,heavy_rain,1,0,0,0
2024-01-14,6,Sunday,1,0,0,1,winter,0,,0,0,0,0,6.0,-3.8,-0.8,-9.6,0.8,0.1,0.49,37.9,73,snow,0,0,0,0
2024-01-15,0,Monday,0,1,0,1,winter,1,Martin Luther King Jr. Day,0,0,0,1,-1.1,-5.8,-5.9,-10.7,0.8,0.0,0.56,11.9,73,snow,0,0,0,1
2024-01-16,1,Tuesday,0,0,0,1,winter,0,,0,0,0,0,0.0,-5.3,-4.3,-12.4,10.4,4.5,4.13,25.0,73,snow,1,1,0,1
2024-01-17,2,Wednesday,0,0,0,1,winter,0,,0,0,0,0,-4.3,-8.9,-11.3,-14.7,0,0.0,0,23.9,0,clear,0,0,0,1
2024-01-18,3,Thursday,0,0,0,1,winter,0,,0,0,0,0,0.2,-7.1,-4.4,-12.4,0.3,0.0,0.21,18.2,71,light_snow,0,0,0,1
2024-01-19,4,Friday,0,0,1,1,winter,0,,0,0,0,0,-1.0,-4.4,-5.8,-8.7,2.4,0.0,1.68,17.1,73,snow,1,1,0,0
2024-01-20,5,Saturday,1,0,0,1,winter,0,,0,0,0,0,-3.5,-8.4,-9.4,-14.2,0,0.0,0,25.7,3,overcast,0,0,0,1
2024-01-21,6,Sunday,1,0,0,1,winter,0,,0,0,0,0,-1.4,-7.7,-8.1,-13.9,0,0.0,0,23.6,3,overcast,0,0,0,1
2024-01-22,0,Monday,0,1,0,1,winter,0,,0,0,0,0,3.0,-7.8,-2.6,-12.4,0,0.0,0,16.8,3,overcast,0,0,0,1
2024-01-23,1,Tuesday,0,0,0,1,winter,0,,0,0,0,0,4.3,-1.6,1.1,-7.3,1.7,1.7,0,17.8,53,drizzle,1,0,0,0
2024-01-24,2,Wednesday,0,0,0,1,winter,0,,0,0,0,0,6.3,0.2,3.8,-2.8,3.1,3.1,0,10.2,51,light_drizzle,1,0,0,0
2024-01-25,3,Thursday,0,0,0,1,winter,0,,0,0,0,0,12.1,6.2,11.0,4.0,8.1,8.1,0,22.4,61,light_rain,1,0,0,0
2024-01-26,4,Friday,0,0,1,1,winter,0,,0,0,0,0,8.6,2.9,6.3,0.5,4.4,4.4,0,19.4,53,drizzle,1,0,0,0
2024-01-27,5,Saturday,1,0,0,1,winter,0,,0,0,0,0,8.6,2.2,5.9,-0.2,0,0.0,0,13.8,3,overcast,0,0,0,0
2024-01-28,6,Sunday,1,0,0,1,winter,0,,0,0,0,0,4.6,2.7,1.6,-2.9,21.7,21.7,0,30.0,63,rain,1,0,0,0
2024-01-29,0,Monday,0,1,0,1,winter,0,,0,0,0,0,5.8,0.1,-0.6,-4.2,0.7,0.7,0,28.7,51,light_drizzle,0,0,0,0
2024-01-30,1,Tuesday,0,0,0,1,winter,0,,0,0,0,0,4.2,-3.8,0.4,-8.1,0,0.0,0,13.1,3,overcast,0,0,0,0
2024-01-31,2,Wednesday,0,0,0,1,winter,0,,0,0,0,0,4.2,-0.7,0.8,-4.4,0.4,0.3,0.07,11.2,71,light_snow,0,0,0,0
2024-02-01,3,Thursday,0,0,0,2,winter,0,,0,0,0,0,8.8,-2.8,5.1,-6.5,0,0.0,0,22.1,3,overcast,0,0,0,0
2024-02-02,4,Friday,0,0,1,2,winter,0,,0,0,0,0,5.6,1.4,1.8,-3.9,6.8,6.8,0,23.0,55,dense_drizzle,1,0,0,0
2024-02-03,5,Saturday,1,0,0,2,winter,0,,0,0,0,0,5.4,-3.4,-0.4,-8.5,0,0.0,0,24.5,2,partly_cloudy,0,0,0,0
2024-02-04,6,Sunday,1,0,0,2,winter,0,,0,0,0,0,7.3,-3.7,3.4,-8.7,0,0.0,0,14.4,0,clear,0,0,0,0
2024-02-05,0,Monday,0,1,0,2,winter,0,,0,0,0,0,6.7,-3.5,1.6,-8.5,0,0.0,0,23.2,0,clear,0,0,0,0
2024-02-06,1,Tuesday,0,0,0,2,winter,0,,0,0,0,0,5.5,-4.8,1.3,-10.2,0,0.0,0,17.0,0,clear,0,0,0,0
2024-02-07,2,Wednesday,0,0,0,2,winter,0,,0,0,0,0,7.9,-3.7,4.1,-8.3,0,0.0,0,11.9,2,partly_cloudy,0,0,0,0
2024-02-08,3,Thursday,0,0,0,2,winter,0,,0,0,0,0,9.4,-3.3,6.2,-7.3,0,0.0,0,12.4,3,overcast,0,0,0,0
2024-02-09,4,Friday,0,0,1,2,winter,0,,0,0,0,0,10.2,1.6,6.6,-1.7,0,0.0,0,19.8,3,overcast,0,0,0,0
2024-02-10,5,Saturday,1,0,0,2,winter,0,,0,0,0,0,15.5,1.9,12.9,-1.3,0.2,0.2,0,17.7,51,light_drizzle,0,0,0,0
2024-02-11,6,Sunday,1,0,0,2,winter,0,,0,0,0,0,8.9,3.7,5.6,0.0,0,0.0,0,14.8,3,overcast,0,0,0,0
2024-02-12,0,Monday,0,1,0,2,winter,1,Lincoln's Birthday,0,0,0,1,8.7,-1.6,6.0,-5.3,0,0.0,0,11.0,3,overcast,0,0,0,0
2024-02-13,1,Tuesday,0,0,0,2,winter,0,,0,0,0,0,3.1,-2.7,-0.6,-7.5,25.8,0.6,17.64,25.1,75,heavy_snow,1,1,0,0
2024-02-14,2,Wednesday,0,0,0,2,winter,0,,0,0,0,0,1.0,-4.2,-5.6,-10.4,0,0.0,0,28.7,1,mainly_clear,0,0,0,0
2024-02-15,3,Thursday,0,0,0,2,winter,1,Susan B. Anthony Day,0,0,0,1,2.4,-5.9,-2.0,-10.6,0,0.0,0,22.4,3,overcast,0,0,0,1
2024-02-16,4,Friday,0,0,1,2,winter,0,,0,0,0,0,4.8,-1.9,-1.2,-8.2,0,0.0,0,30.4,3,overcast,0,0,0,0
2024-02-17,5,Saturday,1,0,0,2,winter,0,,0,0,0,0,2.0,-4.5,-3.3,-9.6,5.7,0.0,3.99,25.6,73,snow,1,1,0,0
