timestamp,date,hour,day_of_week,day_name,is_weekend,is_monday,is_friday,month,season,is_us_holiday,holiday_name,is_summer_break,is_winter_break,is_spring_break,is_major_event_window,temperature_c,apparent_temperature_c,precipitation_mm,rain_mm,snowfall_cm,windspeed_kmh,windgusts_kmh,weathercode,weather_label,is_day,is_rain,is_snow,is_severe_wind,is_peak_morning,is_peak_evening,is_overnight
2026-01-15T00:00:00,2026-01-15,0,3,Thursday,0,0,0,1,winter,0,,0,1,0,0,6.6,4.3,0.0,0.0,0.0,3.6,9.0,3,overcast,0,0,0,0,0,0,1
2026-01-15T01:00:00,2026-01-15,1,3,Thursday,0,0,0,1,winter,0,,0,1,0,0,6.3,3.8,0.0,0.0,0.0,5.3,10.4,3,overcast,0,0,0,0,0,0,1
2026-01-15T02:00:00,2026-01-15,2,3,Thursday,0,0,0,1,winter,0,,0,1,0,0,6.6,3.6,0.0,0.0,0.0,8.4,15.1,3,overcast,0,0,0,0,0,0,1
2026-01-15T03:00:00,2026-01-15,3,3,Thursday,0,0,0,1,winter,0,,0,1,0,0,6.4,3.3,0.0,0.0,0.0,9.2,18.7,3,overcast,0,0,0,0,0,0,1
2026-01-15T04:00:00,2026-01-15,4,3,Thursday,0,0,0,1,winter,0,,0,1,0,0,5.9,2.8,0.0,0.0,0.0,9.7,20.5,3,overcast,0,0,0,0,0,0,1
2026-01-15T05:00:00,2026-01-15,5,3,Thursday,0,0,0,1,winter,0,,0,1,0,0,4.8,1.7,0.0,0.0,0.0,9.1,20.5,3,overcast,0,0,0,0,0,0,1
2026-01-15T06:00:00,2026-01-15,6,3,Thursday,0,0,0,1,winter,0,,0,1,0,0,4.4,1.4,0.0,0.0,0.0,8.4,18.7,3,overcast,0,0,0,0,0,0,0
2026-01-15T07:00:00,2026-01-15,7,3,Thursday,0,0,0,1,winter,0,,0,1,0,0,4.7,1.3,0.0,0.0,0.0,11.2,22.7,3,overcast,0,0,0,0,1,0,0
2026-01-15T08:00:00,2026-01-15,8,3,Thursday,0,0,0,1,winter,0,,0,1,0,0,4.6,1.3,0.1,0.1,0.0,11.1,30.2,51,drizzle_light,0,1,0,0,1,0,0
2026-01-15T09:00:00,2026-01-15,9,3,Thursday,0,0,0,1,winter,0,,0,1,0,0,5.1,1.2,0.0,0.0,0.0,14.9,32.4,3,overcast,1,0,0,0,1,0,0
2026-01-15T10:00:00,2026-01-15,10,3,Thursday,0,0,0,1,winter,0,,0,1,0,0,4.2,-0.7,0.0,0.0,0.0,18.7,44.3,3,overcast,1,0,0,1,0,0,0
2026-01-15T11:00:00,2026-01-15,11,3,Thursday,0,0,0,1,winter,0,,0,1,0,0,3.5,-1.7,0.0,0.0,0.0,17.7,41.8,0,clear,1,0,0,1,0,0,0
2026-01-15T12:00:00,2026-01-15,12,3,Thursday,0,0,0,1,winter,0,,0,1,0,0,3.2,-2.6,0.0,0.0,0.0,19.4,46.4,0,clear,1,0,0,1,0,0,0
2026-01-15T13:00:00,2026-01-15,13,3,Thursday,0,0,0,1,winter,0,,0,1,0,0,2.8,-3.0,0.0,0.0,0.0,19.1,46.8,0,clear,1,0,0,1,0,0,0
2026-01-15T14:00:00,2026-01-15,14,3,Thursday,0,0,0,1,winter,0,,0,1,0,0,2.6,-3.3,0.0,0.0,0.0,18.9,46.4,0,clear,1,0,0,1,0,0,0
2026-01-15T15:00:00,2026-01-15,15,3,Thursday,0,0,0,1,winter,0,,0,1,0,0,2.3,-3.7,0.0,0.0,0.0,18.6,46.1,0,clear,1,0,0,1,0,0,0
2026-01-15T16:00:00,2026-01-15,16,3,Thursday,0,0,0,1,winter,0,,0,1,0,0,1.5,-4.7,0.0,0.0,0.0,19.7,46.4,0,clear,1,0,0,1,0,0,0
2026-01-15T17:00:00,2026-01-15,17,3,Thursday,0,0,0,1,winter,0,,0,1,0,0,0.1,-6.0,0.0,0.0,0.0,19.1,46.4,0,clear,1,0,0,1,0,1,0
2026-01-15T18:00:00,2026-01-15,18,3,Thursday,0,0,0,1,winter,0,,0,1,0,0,-1.3,-7.1,0.0,0.0,0.0,16.7,43.2,0,clear,0,0,0,1,0,1,0
2026-01-15T19:00:00,2026-01-15,19,3,Thursday,0,0,0,1,winter,0,,0,1,0,0,-2.3,-8.1,0.0,0.0,0.0,16.2,39.6,0,clear,0,0,0,0,0,1,0
2026-01-15T20:00:00,2026-01-15,20,3,Thursday,0,0,0,1,winter,0,,0,1,0,0,-3.0,-8.5,0.0,0.0,0.0,14.9,36.7,0,clear,0,0,0,0,0,0,0
2026-01-15T21:00:00,2026-01-15,21,3,Thursday,0,0,0,1,winter,0,,0,1,0,0,-3.3,-8.9,0.0,0.0,0.0,14.4,33.8,0,clear,0,0,0,0,0,0,0
