station_complex_id,route_ids_gtfs,route_ids_from_schedule,gtfs_route_ids
1,N W,N W,N W
2,N W,N W,N W
3,N W,N W,N W
4,N W,N W,N W
5,N W,N W,N W
6,N W,N W,N W
8,N R W,N R W,N R W
9,N Q R W,N Q R W,N Q R W
10,N Q R W,N Q R W,N R W
13,N Q R W,N Q R W,R W
14,N Q R W,N Q R W,R W
16,N Q R W,N Q R W,R W
17,N Q R W,N Q R W,R W
20,N R W,N R W,R W
22,N R W,N R W,R W
26,B D N Q R W,B D N Q R W,B Q R
28,D N R W,D N R W,R
30,D N R W,D N R W,R
31,D N R W,D N R W,R
32,D N R W,D N R W,D N R
33,N R W,N R W,R
34,N R W,N R W,R
35,N R W,N R W,N R
36,R,R,R
37,R,R,R
38,R,R,R
39,R,R,R
41,B Q,B Q,B Q
42,B FS Q,B FS Q,B FS Q
43,Q,Q,Q
44,B Q,B Q,B Q
45,Q,Q,Q
46,Q,Q,Q
47,B Q,B Q,B Q
48,Q,Q,Q
49,Q,Q,Q
50,Q,Q,Q
51,B Q,B Q,B Q
52,Q,Q,Q
53,Q,Q,Q
54,B Q,B Q,B Q
55,B Q,B Q,B Q
56,Q,Q,Q
57,F FX Q,F FX Q,F Q
58,D F FX N Q,D F FX N Q,D F N Q
59,D R W,D R W,D
60,D,D,D
61,D,D,D
62,D,D,D
64,D,D,D
65,D,D,D
66,D,D,D
67,D,D,D
68,D R W,D R W,D
69,D,D,D
70,D,D,D
71,N W,N W,N
72,N W,N W,N
74,N W,N W,N
75,N W,N W,N
76,N W,N W,N
77,N W,N W,N
78,N W,N W,N
79,N W,N W,N
80,J Z,J Z,J Z
81,J,J,J
82,J Z,J Z,J Z
83,J Z,J Z,J Z
84,J,J,J
85,J Z,J Z,J Z
86,J,J,J
87,J Z,J Z,J Z
88,J Z,J Z,J Z
89,J,J,J
90,J Z,J Z,J Z
91,J Z,J Z,J Z
93,J Z,J Z,J Z
94,J,J,J
95,J Z,J Z,J Z
96,J,J,J
97,J M Z,J M Z,J M Z
98,J M,J M,J M
99,J M,J M,J M
100,J M,J M,J M
101,J M Z,J M Z,J M Z
103,J Z,J Z,J Z
107,J Z,J Z,J Z
108,M,M,M
109,M,M,M
110,M,M,M
111,M,M,M
113,M,M,M
114,M,M,M
118,L,L,L
119,L,L,L
120,L,L,L
122,L,L,L
123,L,L,L
124,L,L,L
125,L,L,L
126,L,L,L
127,L,L,L
129,L,L,L
130,L,L,L
131,L,L,L
133,L,L,L
134,L,L,L
135,L,L,L
136,L,L,L
137,L,L,L
138,L,L,L
141,FS,FS,FS
143,A,A,A
