route_id,direction_id,fleet_size
1,0,33.333
1,1,32.8
2,0,35.333
2,1,38.867
3,0,25.167
3,1,24.667
4,0,32.067
4,1,35.0
5,0,36.0
5,1,39.433
6,0,39.9
6,1,38.1
7,0,40.133
7,1,34.0
A,0,49.0
A,1,45.967
B,0,26.4
B,1,23.333
C,0,20.533
C,1,20.133
D,0,33.0
D,1,33.5
E,0,27.0
E,1,26.0
F,0,47.133
F,1,51.0
FS,0,2.4
FS,1,2.3
G,0,10.533
G,1,11.85
GS,0,3.9
GS,1,3.9
H,0,2.333
H,1,2.333
J,0,23.8
J,1,19.333
L,0,27.333
L,1,28.0
M,0,22.95
M,1,25.5
N,0,27.0
N,1,24.3
Q,0,23.667
Q,1,23.5
R,0,28.05
R,1,30.667
W,0,12.8
W,1,12.8
Z,0,9.333
Z,1,7.133
