route_id,direction_id,fleet_lower_bound,fleet_continuous,pct_underestimate
FS,1,2.3,3.0,23.333
H,1,2.333,3.0,22.233
H,0,2.333,3.0,22.233
FS,0,2.4,3.0,20.0
G,0,10.533,11.0,4.245
B,1,23.333,24.0,2.779
GS,1,3.9,4.0,2.5
GS,0,3.9,4.0,2.5
W,1,12.8,13.0,1.538
G,1,11.85,12.0,1.25
L,1,28.0,28.0,0.0
7,1,34.0,34.0,0.0
6,1,38.1,38.0,-0.263
C,1,20.133,20.0,-0.665
1,0,33.333,33.0,-1.009
L,0,27.333,27.0,-1.233
6,0,39.9,39.0,-2.308
1,1,32.8,32.0,-2.5
C,0,20.533,20.0,-2.665
3,1,24.667,24.0,-2.779
7,0,40.133,39.0,-2.905
R,0,28.05,27.0,-3.889
E,1,26.0,25.0,-4.0
3,0,25.167,24.0,-4.863
N,1,24.3,23.0,-5.652
W,0,12.8,12.0,-6.667
Q,1,23.5,22.0,-6.818
4,0,32.067,30.0,-6.89
J,1,19.333,18.0,-7.406
Q,0,23.667,22.0,-7.577
2,1,38.867,36.0,-7.964
E,0,27.0,25.0,-8.0
5,0,36.0,33.0,-9.091
M,0,22.95,21.0,-9.286
R,1,30.667,28.0,-9.525
B,0,26.4,24.0,-10.0
2,0,35.333,32.0,-10.416
A,1,45.967,41.0,-12.115
F,0,47.133,42.0,-12.221
5,1,39.433,35.0,-12.666
D,1,33.5,29.0,-15.517
M,1,25.5,22.0,-15.909
4,1,35.0,30.0,-16.667
N,0,27.0,23.0,-17.391
F,1,51.0,43.0,-18.605
Z,1,7.133,6.0,-18.883
D,0,33.0,27.0,-22.222
A,0,49.0,40.0,-22.5
J,0,23.8,19.0,-25.263
Z,0,9.333,6.0,-55.55
