lambda_equiv,f1,f2,total_trips,w,chebyshev,f1_improve_pct,f2_delta_pct,z_star_f1,z_star_f2
195.0,10723395.92044653,1713300.0,11422.0,0.9,67199.99999999999,31.459287221455856,34.42391432270213,10657790.797807783,1041300.0
264.0,10764786.793602824,1686300.0,11242.0,0.8578947368421053,91791.30165574598,31.194729242835535,32.305519595151225,10657790.797807783,1041300.0
306.0,10795830.425013322,1669950.0,11133.0,0.8157894736842105,115803.94736842107,30.996307712949378,31.022713899023184,10657790.797807783,1041300.0
356.0,10829573.907993272,1654800.0,11032.0,0.7736842105263158,138844.73684210528,30.7806295460483,29.83405907967518,10657790.797807783,1041300.0
414.0,10876113.090404732,1636950.0,10913.0,0.731578947368421,159885.00000000003,30.483165127288004,28.433564787572084,10657790.797807783,1041300.0
446.0,10908163.951606616,1625850.0,10839.0,0.6894736842105262,181518.15789473688,30.278305688334093,27.562669177356714,10657790.797807783,1041300.0
481.0,10939449.753425581,1615800.0,10772.0,0.6473684210526316,202586.84210526315,30.07833627823039,26.77415558432388,10657790.797807783,1041300.0
558.0,11022073.645900115,1592250.0,10615.0,0.6052631578947368,220486.98700325386,29.550229275117285,24.926444627515593,10657790.797807783,1041300.0
602.0,11077552.06934357,1578000.0,10520.0,0.5631578947368421,236391.87397015412,29.195627923562782,23.808402965752617,10657790.797807783,1041300.0
649.0,11134971.2018526,1564350.0,10429.0,0.5210526315789473,250513.4210526316,28.828622144937142,22.737436742379664,10657790.797807783,1041300.0
699.0,11202678.574856203,1549350.0,10329.0,0.4789473684210527,264720.7894736842,28.395857035781635,21.56055078262916,10657790.797807783,1041300.0
753.0,11278362.986087495,1533750.0,10225.0,0.4368421052631579,277327.10526315786,27.912105103977442,20.336589384488644,10657790.797807783,1041300.0
812.0,11389926.287715182,1512600.0,10084.0,0.39473684210526316,289000.8512792364,27.199026125059085,18.677180181240438,10657790.797807783,1041300.0
875.0,11500582.798403503,1493100.0,9954.0,0.3526315789473684,297195.07389428036,26.49174308035655,17.147228433564788,10657790.797807783,1041300.0
943.0,11636098.948965002,1470900.0,9806.0,0.31052631578947365,303790.42588566267,25.62556471471593,15.405437213134046,10657790.797807783,1041300.0
1017.0,11814459.931786243,1443750.0,9625.0,0.26842105263157895,310474.346488955,24.485535102348464,13.275273625985642,10657790.797807783,1041300.0
1096.0,12012349.887759749,1415850.0,9439.0,0.22631578947368422,306558.10983123444,23.220682183108863,11.086265740849711,10657790.797807783,1041300.0
1181.0,12242685.841039373,1385700.0,9238.0,0.1842105263157895,291954.3500689771,21.748444234101623,8.720724961751207,10657790.797807783,1041300.0
1273.0,12499786.054569071,1354350.0,9029.0,0.14210526315789473,268563.94736842107,20.105137205099595,6.261033305872661,10657790.797807783,1041300.0
1479.0,13105966.244719027,1288200.0,8588.0,0.1,244817.54469112438,16.230616240533617,1.070966223372955,10657790.797807783,1041300.0
