route_id,n_slots,lambda_knee,f1_knee,f2_knee,total_trips_knee,f1_improve_pct,f2_delta_pct
1,48,162.0,687764.7674676732,1279.2166666666667,619.0,25.370822600411465,33.97744728389889
2,48,63.0,477818.9784419759,1632.4,462.0,28.755735820096323,42.592592592592574
3,48,46.0,420693.93488097156,1113.75,447.0,30.697616706655108,48.00992270039203
4,48,111.0,425134.8264338082,1273.9,513.0,27.591108052366685,39.39670265538374
5,48,104.0,421294.05110968347,1399.7333333333333,464.0,29.32972318439471,41.458649149402056
6,48,152.0,698518.0649172785,1220.8666666666666,579.0,30.091769949513946,31.890529348217495
7,48,196.0,570922.6770598995,924.5833333333334,649.0,17.383509071817375,21.307209551507725
A,48,76.0,519167.2846198058,1693.2166666666667,517.0,27.730876093192514,36.41221886539107
B,34,269.0,428719.107206254,938.9166666666667,321.0,32.434159395933186,45.907795907795894
C,36,20.0,533543.8701771824,838.75,330.0,35.56086723475083,48.64864864864865
D,48,104.0,454070.3344902756,1436.4,432.0,31.177490083727672,45.945945945945965
E,48,162.0,436000.8733755846,991.0666666666666,561.0,26.72323123244328,36.82466635987113
F,48,104.0,609469.880855097,1810.1333333333334,535.0,27.52574468287522,37.890406784825586
FS,48,49.0,23848.621959026546,144.91666666666666,370.0,34.91823002408964,55.462184873949575
G,48,63.0,236477.30501833325,568.8,432.0,29.70762842691017,44.96644295302012
GS,38,447.0,81776.87520726379,134.98333333333332,623.0,18.13006893651555,22.63779527559056
H,48,21.0,2609.5938801109687,107.33333333333334,230.0,33.899751886774645,36.904761904761905
J,48,92.0,305634.71763174265,826.5166666666667,422.0,32.05899468448019,48.06819538994389
L,48,104.0,313986.5708800795,960.0333333333333,694.0,19.60635166484107,25.270758122743697
M,48,98.0,516122.5981878854,1109.25,435.0,30.598301103210098,45.97315436241611
N,48,76.0,420361.6334143227,1139.4,422.0,31.581878137190756,48.0701754385965
Q,48,86.0,531111.3199528009,1068.3166666666666,453.0,29.152903763976173,43.810015256214676
R,48,92.0,703006.8167125008,1366.4666666666667,442.0,37.04173833006901,45.8731429588115
W,32,20.0,320520.9822853917,452.8,283.0,34.317728910884995,51.33689839572191
Z,4,20.0,22620.753855674742,43.8,24.0,52.717042867044384,99.99999999999997
