route_id,direction_id,one_way_min_med,cycle_time_min,turnaround_buffer_min,n_trips_sample
1,0,57.5,125.0,5.0,231
1,1,56.5,123.0,5.0,231
2,0,101.0,212.0,5.0,162
2,1,101.0,212.0,5.0,162
3,0,70.5,151.0,5.0,151
3,1,69.0,148.0,5.0,151
4,0,69.0,148.0,5.0,184
4,1,70.0,150.0,5.0,184
5,0,85.0,180.0,5.0,163
5,1,86.0,182.0,5.0,165
6,0,58.0,126.0,5.0,213
6,1,58.5,127.0,5.0,226
6X,0,58.5,127.0,5.0,63
6X,1,59.5,129.0,5.0,50
7,0,38.0,86.0,5.0,256
7,1,37.5,85.0,5.0,279
7X,0,36.0,82.0,5.0,65
7X,1,38.0,86.0,5.0,42
A,0,93.0,196.0,5.0,188
A,1,93.5,197.0,5.0,191
B,0,83.0,176.0,5.0,110
B,1,82.5,175.0,5.0,110
C,0,72.0,154.0,5.0,111
C,1,70.5,151.0,5.0,111
D,0,94.0,198.0,5.0,148
D,1,95.5,201.0,5.0,148
E,0,49.0,108.0,5.0,205
E,1,47.0,104.0,5.0,205
F,0,96.0,202.0,5.0,194
F,1,97.0,204.0,5.0,194
FS,0,7.0,24.0,5.0,119
FS,1,6.5,23.0,5.0,119
FX,0,86.5,183.0,5.0,2
FX,1,90.75,191.5,5.0,2
G,0,34.5,79.0,5.0,149
G,1,34.5,79.0,5.0,149
GS,0,1.5,13.0,5.0,254
GS,1,1.5,13.0,5.0,254
H,0,9.0,28.0,5.0,84
H,1,9.0,28.0,5.0,84
J,0,54.5,119.0,5.0,144
J,1,53.0,116.0,5.0,141
L,0,36.0,82.0,5.0,277
L,1,37.0,84.0,5.0,277
M,0,71.5,153.0,5.0,150
M,1,71.5,153.0,5.0,148
N,0,76.0,162.0,5.0,143
N,1,76.0,162.0,5.0,142
Q,0,66.0,142.0,5.0,157
Q,1,65.5,141.0,5.0,158
R,0,88.5,187.0,5.0,151
R,1,87.0,184.0,5.0,152
SI,0,42.0,94.0,5.0,71
SI,1,42.0,94.0,5.0,78
W,0,43.0,96.0,5.0,93
W,1,43.0,96.0,5.0,94
Z,0,51.0,112.0,5.0,6
Z,1,48.5,107.0,5.0,6
