route_id,direction_id,first_dep_min,last_dep_min,first_dep_time,last_dep_time,first_hour,last_hour,n_trips
1,0,74.5,1499.0,01:14:00,24:59:00,1,0,231
1,1,6.5,1432.5,00:06:00,23:52:00,0,23,231
2,0,153.5,1573.5,02:34:00,26:14:00,2,2,162
2,1,19.0,1439.0,00:19:00,23:59:00,0,23,162
3,0,45.5,1465.0,00:46:00,24:25:00,0,0,151
3,1,4.5,1430.5,00:04:00,23:50:00,0,23,151
4,0,107.0,1527.0,01:47:00,25:27:00,1,1,184
4,1,7.5,1427.5,00:08:00,23:48:00,0,23,184
5,0,23.0,1444.0,00:23:00,24:04:00,0,0,163
5,1,2.0,1422.0,00:02:00,23:42:00,0,23,165
6,0,78.0,1503.0,01:18:00,25:03:00,1,1,213
6,1,7.0,1432.5,00:07:00,23:52:00,0,23,226
6X,0,750.0,1216.0,12:30:00,20:16:00,12,20,63
6X,1,369.0,729.5,06:09:00,12:10:00,6,12,50
7,0,61.5,1488.5,01:02:00,24:48:00,1,0,256
7,1,11.5,1439.0,00:12:00,23:59:00,0,23,279
7X,0,886.0,1300.5,14:46:00,21:40:00,14,21,65
7X,1,375.0,589.5,06:15:00,09:50:00,6,9,42
A,0,39.5,1562.0,00:40:00,26:02:00,0,2,188
A,1,11.5,1434.5,00:12:00,23:54:00,0,23,191
B,0,357.0,1276.5,05:57:00,21:16:00,5,21,110
B,1,326.0,1274.5,05:26:00,21:14:00,5,21,110
C,0,343.0,1340.0,05:43:00,22:20:00,5,22,111
C,1,315.0,1328.0,05:15:00,22:08:00,5,22,111
D,0,136.5,1556.0,02:16:00,25:56:00,2,1,148
D,1,6.0,1431.5,00:06:00,23:52:00,0,23,148
E,0,90.0,1508.5,01:30:00,25:08:00,1,1,205
E,1,7.0,1430.0,00:07:00,23:50:00,0,23,205
F,0,139.0,1561.5,02:19:00,26:02:00,2,2,194
F,1,0.5,1425.0,00:00:00,23:45:00,0,23,194
FS,0,9.5,1429.5,00:10:00,23:50:00,0,23,119
FS,1,0.0,1420.0,00:00:00,23:40:00,0,23,119
FX,0,427.0,448.5,07:07:00,07:28:00,7,7,2
FX,1,986.0,1018.0,16:26:00,16:58:00,16,16,2
G,0,64.0,1484.0,01:04:00,24:44:00,1,0,149
G,1,14.0,1438.0,00:14:00,23:58:00,0,23,149
GS,0,350.0,1435.0,05:50:00,23:55:00,5,23,254
GS,1,353.5,1438.5,05:54:00,23:58:00,5,23,254
H,0,60.5,1480.5,01:00:00,24:40:00,1,0,84
H,1,22.5,1436.5,00:22:00,23:56:00,0,23,84
J,0,75.0,1495.0,01:15:00,24:55:00,1,0,144
J,1,8.5,1430.5,00:08:00,23:50:00,0,23,141
L,0,6.5,1434.5,00:06:00,23:54:00,0,23,277
L,1,54.0,1482.0,00:54:00,24:42:00,0,0,277
M,0,24.0,1446.0,00:24:00,24:06:00,0,0,150
M,1,0.0,1425.0,00:00:00,23:45:00,0,23,148
N,0,116.5,1536.0,01:56:00,25:36:00,1,1,143
N,1,10.5,1434.0,00:10:00,23:54:00,0,23,142
Q,0,101.0,1521.0,01:41:00,25:21:00,1,1,157
Q,1,13.0,1439.0,00:13:00,23:59:00,0,23,158
R,0,65.0,1485.0,01:05:00,24:45:00,1,0,151
R,1,15.0,1435.0,00:15:00,23:55:00,0,23,152
SI,0,61.0,1471.0,01:01:00,24:31:00,1,0,71
SI,1,6.0,1416.0,00:06:00,23:36:00,0,23,78
W,0,424.5,1334.0,07:04:00,22:14:00,7,22,93
W,1,373.0,1286.5,06:13:00,21:26:00,6,21,94
Z,0,1014.5,1066.0,16:54:00,17:46:00,16,17,6
Z,1,440.0,491.0,07:20:00,08:11:00,7,8,6
