route_id,mae_before,mae_after,benefit,n_hours
M,226.64944715200417,95.94184511490117,130.70760203710302,24
J,199.85937602089766,172.08277073217957,27.776605288718088,24
G,116.34544333637363,92.57805850685502,23.76738482951862,24
1,176.3123712538165,157.46779922513613,18.844572028680375,24
FS,15.755358565928908,15.755358565928908,0.0,24
L,379.12110964759273,379.12110964759273,0.0,24
6,157.69985431553857,165.66741396781185,-7.96755965227328,24
7,121.4269246198741,142.13587153920733,-20.70894691933323,24
Q,70.29929491482078,100.08040411733275,-29.78110920251197,24
H,1.6860696938751538,51.91817435963225,-50.2321046657571,24
C,73.05261979199396,132.63214859596516,-59.5795288039712,24
Z,10.267215375471515,69.90608327292398,-59.638867897452464,24
R,137.5664331037171,197.8766392540218,-60.31020615030471,24
5,96.23978021304312,174.35860861915032,-78.1188284061072,24
A,152.08924245991383,234.82806438870315,-82.73882192878932,24
4,98.88312205601153,191.2560768248912,-92.37295476887968,24
D,80.80158566344902,180.5969743981426,-99.79538873469359,24
2,83.27004920758219,189.71324188299226,-106.44319267541007,24
F,115.70003071055153,223.51604797253898,-107.81601726198745,24
W,60.90949562740669,172.6234322635095,-111.7139366361028,24
B,74.8348199701085,188.41201895306074,-113.57719898295224,24
N,59.61391378844024,189.3515025358679,-129.73758874742765,24
E,95.1106043357272,239.64473652241804,-144.53413218669084,24
3,65.8901632675063,213.78774684521872,-147.89758357771242,24
GS,31.9743470090341,302.5036586269018,-270.52931161786773,24
