,1,2,3,4,5,6,7,A,B,C,D,E,F,FS,G,GS,H,J,L,M,N,Q,R,W,Z
1,1.0,0.13904693239779647,0.16692446522239718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11470786693528087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.13904693239779647,1.0,0.5389955533050278,0.16198477414681164,0.6601724504999379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10101525445522107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.16692446522239718,0.5389955533050278,1.0,0.19446111706564934,0.1278274981412284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12126781251816648,0.0,0.0,0.0,0.0,0.0,0.0,0.10226199851298273,0.0,0.0
4,0.0,0.16198477414681164,0.19446111706564934,1.0,0.4225771273642583,0.18394180184548975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1336306209562122,0.0,0.0,0.0,0.0,0.10714285714285714,0.0,0.1126872339638022,0.0,0.0
5,0.0,0.6601724504999379,0.1278274981412284,0.4225771273642583,1.0,0.14509525002200233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10540925533894598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.18394180184548975,0.14509525002200233,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11470786693528087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10147651372376075,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.13636363636363635,0.0,0.0,0.0,0.30151134457776363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.42905816516051654,0.10050378152592121,0.19284730395996752,0.0,0.0,0.0,0.10660035817780521,0.337099931231621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3119251469460218,0.5753964555687505,0.0,0.12253577034896795,0.0,0.0,0.0,0.0,0.0,0.0,0.13699915608779775,0.0,0.30528125543633183,0.0,0.0,0.0
C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42905816516051654,0.3119251469460218,1.0,0.10540925533894598,0.30338993810845893,0.0,0.0,0.0,0.11180339887498948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10050378152592121,0.5753964555687505,0.10540925533894598,1.0,0.0,0.14907119849998599,0.0,0.0,0.0,0.0,0.0,0.0,0.1388888888888889,0.157485197087178,0.0,0.0,0.0,0.0
E,0.0,0.0,0.0,0.0,0.0,0.0,0.13636363636363635,0.19284730395996752,0.0,0.30338993810845893,0.0,1.0,0.3178208630818641,0.0,0.0,0.15075567228888181,0.0,0.0,0.0,0.10660035817780522,0.0,0.0,0.15891043154093204,0.0,0.0
F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12253577034896795,0.0,0.14907119849998599,0.3178208630818641,1.0,0.0,0.29277002188455997,0.0,0.0,0.0,0.0,0.24845199749997662,0.0,0.0,0.13333333333333333,0.0,0.0
FS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29277002188455997,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GS,0.11470786693528087,0.10101525445522107,0.12126781251816648,0.1336306209562122,0.10540925533894598,0.11470786693528087,0.30151134457776363,0.10660035817780521,0.0,0.11180339887498948,0.0,0.15075567228888181,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1336306209562122,0.13130643285972254,0.10540925533894598,0.14744195615489714,0.0
H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.337099931231621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.18257418583505539,0.0,0.0,0.0,0.0,0.8366600265340756
L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13699915608779775,0.0,0.1388888888888889,0.10660035817780522,0.24845199749997662,0.0,0.0,0.0,0.0,0.18257418583505539,0.0,1.0,0.0,0.0,0.32298759674996963,0.0,0.10910894511799618
N,0.0,0.0,0.0,0.10714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.157485197087178,0.0,0.0,0.0,0.0,0.1336306209562122,0.0,0.0,0.0,0.0,1.0,0.24565184222025876,0.3098898934004561,0.5910828046793255,0.0
Q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30528125543633183,0.0,0.0,0.0,0.0,0.0,0.0,0.13130643285972254,0.0,0.0,0.0,0.0,0.24565184222025876,1.0,0.19377278632539327,0.1936007731655916,0.0
R,0.0,0.0,0.10226199851298273,0.1126872339638022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15891043154093204,0.13333333333333333,0.0,0.0,0.10540925533894598,0.0,0.0,0.0,0.32298759674996963,0.3098898934004561,0.19377278632539327,1.0,0.4973358977281674,0.0
W,0.0,0.0,0.0,0.0,0.0,0.10147651372376075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14744195615489714,0.0,0.0,0.0,0.0,0.5910828046793255,0.1936007731655916,0.4973358977281674,1.0,0.0
Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8366600265340756,0.0,0.10910894511799618,0.0,0.0,0.0,0.0,1.0
