date,route,direction,hour,baseline_trips,opt_trips,predicted_demand,lambda_opt,target
2026-01-15,1,0,0,5.0,10,2136.3252083993575,260.0,balanced
2026-01-15,1,0,1,3.0,8,761.2875525680325,260.0,balanced
2026-01-15,1,0,2,3.0,7,427.90072035983405,260.0,balanced
2026-01-15,1,0,3,3.0,7,414.51821611715343,260.0,balanced
2026-01-15,1,0,4,3.0,8,988.4356623767565,260.0,balanced
2026-01-15,1,0,5,3.0,8,3504.2111971066383,260.0,balanced
2026-01-15,1,0,6,7.0,12,7997.208290977127,260.0,balanced
2026-01-15,1,0,7,9.0,14,19178.469696332533,260.0,balanced
2026-01-15,1,0,8,16.0,24,28088.455924261645,260.0,balanced
2026-01-15,1,0,9,16.0,24,18896.12690314359,260.0,balanced
2026-01-15,1,0,10,12.0,18,9133.8782139106,260.0,balanced
2026-01-15,1,0,11,11.0,16,8803.876657734298,260.0,balanced
2026-01-15,1,0,12,10.0,15,9676.504297455449,260.0,balanced
2026-01-15,1,0,13,10.0,15,10792.25454758408,260.0,balanced
2026-01-15,1,0,14,10.0,15,13103.234697318365,260.0,balanced
2026-01-15,1,0,15,11.0,16,17031.019257516393,260.0,balanced
2026-01-15,1,0,16,13.0,19,19607.03686036582,260.0,balanced
2026-01-15,1,0,17,15.0,22,22815.067506471187,260.0,balanced
2026-01-15,1,0,18,15.0,22,17307.797033672225,260.0,balanced
2026-01-15,1,0,19,15.0,22,15476.19193444483,260.0,balanced
2026-01-15,1,0,20,13.0,19,12186.251860556895,260.0,balanced
2026-01-15,1,0,21,12.0,18,10697.313876210403,260.0,balanced
2026-01-15,1,0,22,10.0,15,8511.973315589517,260.0,balanced
2026-01-15,1,0,23,6.0,11,4742.1376887528695,260.0,balanced
2026-01-15,1,1,0,3.0,8,2136.3252083993575,260.0,balanced
2026-01-15,1,1,1,3.0,8,761.2875525680325,260.0,balanced
2026-01-15,1,1,2,3.0,7,427.90072035983405,260.0,balanced
2026-01-15,1,1,3,3.0,7,414.51821611715343,260.0,balanced
2026-01-15,1,1,4,4.0,9,988.4356623767565,260.0,balanced
2026-01-15,1,1,5,7.0,12,3504.2111971066383,260.0,balanced
2026-01-15,1,1,6,9.0,14,7997.208290977127,260.0,balanced
2026-01-15,1,1,7,15.0,22,19178.469696332533,260.0,balanced
2026-01-15,1,1,8,16.0,24,28088.455924261645,260.0,balanced
2026-01-15,1,1,9,13.0,19,18896.12690314359,260.0,balanced
2026-01-15,1,1,10,11.0,16,9133.8782139106,260.0,balanced
2026-01-15,1,1,11,10.0,15,8803.876657734298,260.0,balanced
2026-01-15,1,1,12,10.0,15,9676.504297455449,260.0,balanced
2026-01-15,1,1,13,10.0,15,10792.25454758408,260.0,balanced
2026-01-15,1,1,14,11.0,16,13103.234697318365,260.0,balanced
2026-01-15,1,1,15,12.0,18,17031.019257516393,260.0,balanced
2026-01-15,1,1,16,15.0,22,19607.03686036582,260.0,balanced
2026-01-15,1,1,17,15.0,22,22815.067506471187,260.0,balanced
2026-01-15,1,1,18,15.0,22,17307.797033672225,260.0,balanced
2026-01-15,1,1,19,14.0,21,15476.19193444483,260.0,balanced
2026-01-15,1,1,20,12.0,18,12186.251860556895,260.0,balanced
2026-01-15,1,1,21,9.0,14,10697.313876210403,260.0,balanced
2026-01-15,1,1,22,6.0,11,8511.973315589517,260.0,balanced
2026-01-15,1,1,23,5.0,10,4742.1376887528695,260.0,balanced
2026-01-15,2,0,0,4.0,9,1023.788153933797,260.0,balanced
2026-01-15,2,0,1,3.0,7,395.87581396674517,260.0,balanced
