hour,mlp,blend,lstm
0,225.89163408821216,222.76434348707073,236.0892036651184
1,142.35890488886358,141.13894757608426,137.96957505044247
2,82.91788300077802,82.70092408286602,85.1460669021808
3,56.87543666894983,57.149309473323044,67.79795020468171
4,78.30051190781579,78.47442165697156,107.95227837558828
5,150.34749689771613,151.56480605420813,187.4526089450204
6,392.2272137932097,395.4483042394199,482.28236051875626
7,1022.6468470848197,1018.6295041943359,1230.5782112052468
8,1282.1429875274928,1258.0565192455256,1378.8911898291158
9,745.9176352509779,727.38266240315,821.6419345861158
10,421.811405747767,417.6908433122599,509.13912424755955
11,438.569313756329,433.6689009294993,451.7188768999223
12,486.0506931180477,478.58900565151566,465.37240982702207
13,497.15973158816774,491.6082134248621,520.6065511675118
14,650.9338370930155,643.7139722478486,697.7891597992885
15,825.1582031607027,816.5098133188669,868.5456361705351
16,821.0218093511633,814.3982333115954,948.1626083520467
17,1099.1637599697544,1077.2211705555687,1222.9927318864295
18,793.3216393424516,782.5187070390982,945.1408098742837
19,507.9531726765639,505.89928789962374,613.8838273364612
20,375.23747380384066,370.921389731732,417.82611707567816
21,391.7844989743988,389.64872722687875,441.58657367378964
22,468.39755427479804,461.15004572477665,507.25159611389176
23,442.44369506305884,430.06574404835754,375.9072040113604
