route_id,mlp,blend,lstm
H,4.5469446839377,4.476327415977893,4.587424841310938
FS,35.507087925613426,35.27887075150657,43.384919130336016
Z,109.87954882240116,111.1776045459366,144.5285610435999
GS,200.00381984809488,197.49538186751963,205.82881998251312
G,353.3743204385132,354.09682846115146,431.0415390210327
J,355.2635559377743,358.9476661091161,513.7838327712691
N,371.1925455551966,366.03312421250865,424.625272185795
W,390.267677326066,386.4902650811991,470.30722152063805
3,423.4252689258711,416.6418636341058,474.19655079300685
D,434.2720356700686,429.11540077422507,483.1084064971557
5,448.80535910878507,441.9786698165342,535.3591014114079
2,488.622088749875,480.8547319053112,549.0762764718618
4,526.3861334137438,519.0313832655435,591.8579804046846
B,530.6763039726402,524.3452183492652,630.1569562909189
A,537.4067881786785,525.3884367628926,548.1556706015531
E,574.7225503691978,565.8428013072246,614.9046780736546
M,577.4007263113036,575.4916529824619,731.7677605976593
Q,613.8913880095603,605.8252106229073,667.1541966045241
C,614.409883329777,608.0086151759757,694.7158445263457
R,681.0499366359902,670.4098726350778,724.6132190105482
F,760.991889993848,746.3480251342298,771.2164929128501
7,814.233996415962,801.9558914898163,845.3974857666565
L,843.2356289688393,839.1751848258148,967.9434608746913
6,1040.2171094209182,1026.6979404114159,1062.4489098596207
1,1173.5946399399857,1157.3541614866485,1216.6525404836425
