lambda_equiv,f1,f2,total_trips,w,chebyshev,f1_improve_pct,f2_delta_pct,z_star_f1,z_star_f2
414.0,620257.4448229802,90300.0,602.0,0.9,3314.999999999999,23.05530269858168,30.303030303030305,616763.087908847,57150.0
481.0,621230.8257519979,90000.0,600.0,0.8578947368421053,4668.157894736842,22.934552030343248,29.87012987012987,616763.087908847,57150.0
558.0,623870.7418969001,89250.0,595.0,0.8157894736842105,5913.1578947368425,22.607062936312943,28.78787878787879,616763.087908847,57150.0
699.0,625826.7555645232,88800.0,592.0,0.7736842105263158,7162.894736842107,22.36441388658546,28.13852813852814,616763.087908847,57150.0
753.0,627271.6212105504,88500.0,590.0,0.6894736842105262,9735.000000000002,22.185174200383038,27.705627705627705,616763.087908847,57150.0
812.0,632003.9894766285,87600.0,584.0,0.6473684210526316,10737.631578947368,21.59811047903402,26.406926406926406,616763.087908847,57150.0
875.0,635381.546918333,87000.0,580.0,0.5631578947368421,13039.736842105263,21.179114887543328,25.541125541125542,616763.087908847,57150.0
943.0,643705.7448406344,85650.0,571.0,0.4368421052631579,16050.0,20.146474498049297,23.593073593073594,616763.087908847,57150.0
1017.0,654638.4845265783,84000.0,560.0,0.3526315789473684,17381.842105263157,18.790237095610316,21.21212121212121,616763.087908847,57150.0
1096.0,666215.0267370162,82350.0,549.0,0.31052631578947365,17374.736842105263,17.35413416187858,18.83116883116883,616763.087908847,57150.0
1181.0,676560.0548707128,81000.0,540.0,0.26842105263157895,17448.157894736843,16.07080404635031,16.883116883116884,616763.087908847,57150.0
1273.0,696210.3971009455,78600.0,524.0,0.1842105263157895,17498.684210526317,13.633123293955556,13.41991341991342,616763.087908847,57150.0
1372.0,718972.924315274,76050.0,507.0,0.14210526315789473,16214.21052631579,10.809367156983004,9.740259740259742,616763.087908847,57150.0
1594.0,759268.7706835896,72000.0,480.0,0.1,14250.56827747426,5.810552991682027,3.896103896103896,616763.087908847,57150.0
