route,direction,hour,baseline_trips,opt_trips,demand_pred
1,0,0,5.0,6,1317.1864454480599
1,0,1,3.0,3,386.2133608707976
1,0,2,3.0,3,221.67964198774388
1,0,3,3.0,2,213.827507034693
1,0,4,3.0,3,427.73846232285075
1,0,5,3.0,6,1072.1285476644373
1,0,6,7.0,10,3591.621020750567
1,0,7,9.0,12,7353.224584021073
1,0,8,16.0,20,14300.605635497444
1,0,9,16.0,17,10352.74093178663
1,0,10,12.0,14,6761.722867978202
1,0,11,11.0,14,6549.225284189546
1,0,12,10.0,13,6807.286767321584
1,0,13,10.0,13,7494.958397393947
1,0,14,10.0,13,8647.63207084016
1,0,15,11.0,14,11301.470993811521
1,0,16,13.0,16,13054.257179381595
1,0,17,15.0,18,17314.475965438774
1,0,18,15.0,18,12965.451210474848
1,0,19,15.0,16,8512.727778986537
1,0,20,13.0,13,6262.715136205588
1,0,21,12.0,13,6121.952108180785
1,0,22,10.0,12,5376.201498087625
1,0,23,6.0,8,2543.873211200228
1,1,0,3.0,5,790.3118672688358
1,1,1,3.0,3,386.2133608707976
1,1,2,3.0,3,221.67964198774388
1,1,3,3.0,2,213.827507034693
1,1,4,4.0,4,570.317949763801
1,1,5,7.0,8,2501.633277883687
1,1,6,9.0,11,4617.798455250729
1,1,7,15.0,18,12255.374306701788
1,1,8,16.0,20,14300.605635497444
1,1,9,13.0,15,8411.602007076635
1,1,10,11.0,13,6198.245962313353
1,1,11,10.0,13,5953.841167445042
1,1,12,10.0,13,6807.286767321584
1,1,13,10.0,13,7494.958397393947
1,1,14,11.0,14,9512.395277924175
1,1,15,12.0,15,12328.877447794386
1,1,16,15.0,18,15062.604437747992
1,1,17,15.0,18,17314.475965438774
1,1,18,15.0,18,12965.451210474848
1,1,19,14.0,15,7945.2125937207675
1,1,20,12.0,13,5780.967818035928
1,1,21,9.0,11,4591.4640811355885
1,1,22,6.0,9,3225.7208988525745
1,1,23,5.0,8,2119.894342666857
